user_text,Geography.Geographical,Geography.Regions.Africa.Africa*,Geography.Regions.Africa.Central_Africa,Geography.Regions.Africa.Eastern_Africa,Geography.Regions.Africa.Northern_Africa,Geography.Regions.Africa.Southern_Africa,Geography.Regions.Africa.Western_Africa,Geography.Regions.Americas.Central_America,Geography.Regions.Americas.North_America,Geography.Regions.Americas.South_America,Geography.Regions.Asia.Asia*,Geography.Regions.Asia.Central_Asia,Geography.Regions.Asia.East_Asia,Geography.Regions.Asia.North_Asia,Geography.Regions.Asia.South_Asia,Geography.Regions.Asia.Southeast_Asia,Geography.Regions.Asia.West_Asia,Geography.Regions.Europe.Eastern_Europe,Geography.Regions.Europe.Europe*,Geography.Regions.Europe.Northern_Europe,Geography.Regions.Europe.Southern_Europe,Geography.Regions.Europe.Western_Europe,Geography.Regions.Oceania,total,top_label
Saidmann,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Africa.Africa*
Boor cocoa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Chris1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,6,Geography.Regions.Asia.West_Asia
Bodhi-Baum,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,6,Geography.Regions.Asia.Southeast_Asia
Lguenth1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Marsupilami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,6,Geography.Regions.Europe.Europe*
Radioactive39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Zeniatta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
Knaxberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Badener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Tommes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,Geography.Regions.Europe.Europe*
Leif Czerny,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,6,Geography.Regions.Asia.Asia*
MenkinAlRire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,6,Geography.Regions.Europe.Southern_Europe
Rudermeister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
AB1209LJ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,Geography.Regions.Europe.Europe*
Bayer121990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Liutprand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,Geography.Regions.Europe.Europe*
Dellamara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,6,Geography.Regions.Asia.West_Asia
Der rausch,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,Geography.Regions.Americas.North_America
Bötsy,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Wieggy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,6,Geography.Regions.Europe.Europe*
Tosinban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Plipp13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,6,Geography.Regions.Europe.Europe*
Fifat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Dresdner90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,6,Geography.Regions.Europe.Europe*
Oalexander,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6,Geography.Regions.Oceania
Mikered,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Blutgretchen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,6,Geography.Regions.Europe.Western_Europe
Myzemil,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,Geography.Geographical
Jergen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,Geography.Regions.Europe.Europe*
NONIS STEFANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6,Geography.Regions.Europe.Europe*
2003:C3:6721:3400:3D27:F7D2:4FA8:4108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Schöba,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,6,Geography.Regions.Europe.Eastern_Europe
Intimidator,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,6,Geography.Regions.Europe.Europe*
Tobivan,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,Geography.Regions.Americas.North_America
OliverZenglein,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,Geography.Regions.Europe.Europe*
Morgenröte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,6,Geography.Regions.Europe.Europe*
ArlindoPereira,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.South_America
Silewe,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,6,Geography.Regions.Americas.North_America
Meerwind7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,6,Geography.Regions.Asia.East_Asia
"Herr Lehrer, ich weiß was!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Fit,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,Geography.Regions.Europe.Western_Europe
Lena1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,Geography.Regions.Europe.Europe*
Ennimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
Alexs0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,Geography.Regions.Europe.Europe*
109.41.113.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Lefschetz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Sala.mitti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Brun Candidus,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,6,Geography.Regions.Americas.South_America
Tilman Berger,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,6,Geography.Regions.Europe.Europe*
Dontworry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,6,Geography.Regions.Europe.Northern_Europe
93.195.69.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,6,Geography.Regions.Asia.West_Asia
Lorin Meier,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
2003:C3:671B:E100:A05E:97EE:B36A:56A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
84.58.217.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
WikiFreibeuter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Geruxenfux,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
~2025-34877-51,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,6,Geography.Regions.Americas.North_America
PantheraLeo1359531,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,6,Geography.Regions.Europe.Europe*
Dasmöschteisch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,6,Geography.Regions.Europe.Europe*
Rigg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,Geography.Regions.Europe.Southern_Europe
Gib Senf dazu!,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,6,Geography.Regions.Europe.Western_Europe
Gerd Wiechmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Laserjones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,6,Geography.Regions.Europe.Europe*
Ricardalovesmonuments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Vergessenes Wissen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
~2025-44018-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Aalesser,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,6,Geography.Regions.Asia.Asia*
SajoR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,6,Geography.Regions.Europe.Europe*
Florean Fortescue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Mussklprozz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,6,Geography.Regions.Europe.Europe*
2603:8001:B202:3294:A995:8B84:89A7:7A01,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Asia.Asia*
MRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Fabio Meisinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,Geography.Regions.Europe.Europe*
Reclus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,Geography.Regions.Europe.Europe*
178.203.109.225,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,Geography.Regions.Americas.North_America
Cengo-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,6,Geography.Regions.Europe.Europe*
Pastelfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Addulazz,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,6,Geography.Regions.Europe.Europe*
Sermoncampa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,Geography.Regions.Europe.Eastern_Europe
Manha28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Bingo67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Tsui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,Geography.Regions.Europe.Europe*
Vulpecula75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Geomaus007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Der vo Dahoam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
VClaudiaClair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
~2025-28750-97,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,Geography.Regions.Americas.North_America
Tirkon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
The-Digit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,6,Geography.Regions.Europe.Europe*
Heritage Hamburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,6,Geography.Regions.Europe.Europe*
Olaf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,6,Geography.Regions.Europe.Southern_Europe
Wittener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Zeddicius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,Geography.Regions.Europe.Northern_Europe
~2025-28622-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Mornsbar,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,Geography.Regions.Americas.North_America
P6G47TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Alte Garde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,Geography.Regions.Oceania
145.253.98.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Früchtebrot,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Engelbert Strauss Workwear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Skyscraper2010,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,6,Geography.Regions.Asia.Asia*
Wolle1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,6,Geography.Regions.Europe.Europe*
JonasS.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Methodios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,6,Geography.Regions.Europe.Europe*
Mariusowitsch,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Josef2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Luthermütze,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,6,Geography.Regions.Europe.Western_Europe
178.78.252.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,6,Geography.Regions.Europe.Europe*
Rademacher2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Proofreader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,Geography.Regions.Europe.Western_Europe
Cc25t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
GodeNehler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,6,Geography.Regions.Europe.Europe*
212.200.164.98,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Asia.North_Asia
Kirchenfan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Churchi 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Oskar71,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,Geography.Regions.Africa.Africa*
Krassdaniel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,6,Geography.Regions.Europe.Western_Europe
Dick Tracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
Paul Schüpferling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Hodsha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
Munibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Curryfranke,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,6,Geography.Regions.Asia.Asia*
Kittelträger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Take Off To Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
Ich esse Rosinen.,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,Geography.Regions.Americas.North_America
Springhead,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,6,Geography.Regions.Asia.North_Asia
STRABAG SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
Yvi8,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,6,Geography.Regions.Asia.Asia*
Roboter2014,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.South_America
Bennet Stern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,Geography.Regions.Europe.Southern_Europe
Artessa,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,6,Geography.Regions.Americas.South_America
ChemSim,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
185.104.138.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Mekka1996,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Africa.Africa*
Wittiko,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
~2025-30783-75,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.North_America
Janwo,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,6,Geography.Geographical
Peterf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,6,Geography.Regions.Europe.Eastern_Europe
~2025-39401-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
Tęczowy Szop,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,6,Geography.Regions.Asia.Asia*
Kj1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,6,Geography.Regions.Europe.Southern_Europe
Haddad Maia fan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,6,Geography.Regions.Europe.Europe*
Bougnat87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
~2025-37578-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,Geography.Regions.Europe.Europe*
TheZoodles,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6,Geography.Regions.Asia.South_Asia
Fixer88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,6,Geography.Regions.Asia.South_Asia
Posesavon,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.South_America
Euwed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,Geography.Regions.Europe.Europe*
Hatto,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,6,Geography.Regions.Europe.Europe*
Tajotep,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,Geography.Regions.Europe.Europe*
Rezakaisar91,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,Geography.Regions.Americas.North_America
BlockArranger,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,6,Geography.Regions.Europe.Eastern_Europe
Franco Brignone,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.South_America
NisseSthlm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,6,Geography.Regions.Europe.Northern_Europe
Daisygoz,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,6,Geography.Regions.Europe.Northern_Europe
Dzikiłoś,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6,Geography.Regions.Europe.Eastern_Europe
62.194.36.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,6,Geography.Regions.Europe.Western_Europe
JeremiasMad,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Asia.Asia*
Ammq´9*,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,6,Geography.Regions.Europe.Western_Europe
Patcha007,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,Geography.Regions.Americas.North_America
185.57.73.240,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.North_America
KarlMarx1889,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,6,Geography.Regions.Asia.Asia*
Zax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,6,Geography.Regions.Europe.Southern_Europe
NF18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,Geography.Regions.Americas.South_America
68.7.90.230,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,Geography.Regions.Americas.North_America
ELTISAFE1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,Geography.Regions.Europe.Europe*
Mr exatly,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,6,Geography.Regions.Europe.Northern_Europe
Parcynthia,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6,Geography.Regions.Americas.North_America
LemmyButler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Geography.Regions.Europe.Western_Europe
77.244.33.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,Geography.Regions.Europe.Western_Europe
TruthfulSpeech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6,Geography.Regions.Europe.Eastern_Europe
ScavengerRx9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,6,Geography.Regions.Americas.South_America
Sirslayercort,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,6,Geography.Regions.Asia.Asia*
HertoYerta,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,6,Geography.Regions.Asia.Southeast_Asia
Oliwiasocz,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,6,Geography.Regions.Africa.Africa*
~2025-33395-67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Geography.Geographical
Boxes12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,6,Geography.Regions.Europe.Eastern_Europe
Nimravida45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,Geography.Regions.Africa.Africa*
Amanich7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,6,Geography.Regions.Europe.Europe*
Brunaldo Bruno,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,6,Geography.Regions.Europe.Southern_Europe
José María Lacarra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,6,Geography.Regions.Europe.Western_Europe
Cosocosa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,6,Geography.Regions.Europe.Southern_Europe
Bwag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,Geography.Regions.Europe.Western_Europe
